見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018-冬春 特集「はじまりの景色」,展示,1月4日?4月15日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「南葵音楽文庫 音楽の殿様・頼貞の楽譜コレクション」 ,展示,12月3日～1月21日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「ふるさとからのおくりもの　新収蔵品展」,展示,1月27日?3月4日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,フカミンのおしゃべり考古学(5),イベント,1月17日13:30?15:00,,15歳以上 ,30人（先着順）,,当日受付,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,冬期企画展「うつわに隠された物語－装飾付須恵器の世界－」,展示,1月20日?3月4日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,学芸員講座「岩橋千塚(4)」,イベント,1月27日13:30?15:30,,小学生以上 ,30人（先着順）,,1月12日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,展示講座(4)「冬期企画展」,イベント,2月3・10日13:30?15:30,,小学生以上,30人（先着順）,,1月19日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,裏方探検ツアー(2),イベント,2月10日10:00?12:00,,小学生以上（小学生は保護者同伴）,20人（抽選,,1月27日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,1月20・27日、2月10日14:00?、2月3日11:00?,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜, エントランスコンサート,イベント,2月2日12:00?12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,, 日曜体験教室 「お雛様と5月の端午の節句を作ろう！」(1)ポーセラーツ,イベント,1月14日10:00?12:00,,小学生以上（小学生は保護者同伴）,各20人（先着順）,"コップ1,000円、お皿1,300円など",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,, 日曜体験教室 「お雛様と5月の端午の節句を作ろう！」(2)押し花額,イベント,1月14日13:00?15:00,,小学生以上（小学生は保護者同伴）,各20人（先着順）,"2,000円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,企画展「名草まほろば絵画展」 ,展示,1月17日?3月31日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「楽しい手まりつくり（全2回）」,イベント,1月21・28日13:00?15:00,,18歳以上,10人（先着順）,"1,800円（2回分）",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,2月の寄せ植え教室,イベント,2月4日13:30?15:00,,,40人（先着順）,"1,800円",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,早春の洋ラン展,展示,2月10?12日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,洋ランの育て方教室,イベント,2月11日13:30?16:00,,,36人（先着順）,300円,事前申込,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,,(1)1月5・14・28日、2月1・18・25日11:00?(2)1月12日13:00?(3)1月26日13:30?,(1)県動物愛護センター(2)橋本保健所(3)西牟婁振興局（田辺市）,,,"譲渡を受けるには受講と、犬については狂犬病予防注射代 2,640円が必要です。",,入場無料
